Dia,Hora,Suma minutos,Horas
Lunes,0,103.8833333,1.7
Lunes,1,0,0.0
Lunes,2,0,0.0
Lunes,3,0,0.0
Lunes,4,0,0.0
Lunes,5,0,0.0
Lunes,6,0,0.0
Lunes,7,0,0.0
Lunes,8,0,0.0
Lunes,9,0,0.0
Lunes,10,26.86666667,0.5
Lunes,11,19.33333333,0.3
Lunes,12,597.5,10.0
Lunes,13,486.5,8.1
Lunes,14,250.25,4.2
Lunes,15,49.53333333,0.8
Lunes,16,199.6666667,3.3
Lunes,17,422.8666667,7.1
Lunes,18,212.3833333,3.5
Lunes,19,496.7833333,8.3
Lunes,20,1406.983333,23.5
Lunes,21,1343.933333,22.4
Lunes,22,456.6,7.6
Lunes,23,165.1,2.8
Martes,0,126.05,2.1
Martes,1,0,0.0
Martes,2,0,0.0
Martes,3,0,0.0
Martes,4,0,0.0
Martes,5,0,0.0
Martes,6,0,0.0
Martes,7,0,0.0
Martes,8,0,0.0
Martes,9,42.03333333,0.7
Martes,10,47.48333333,0.8
Martes,11,99.3,1.7
Martes,12,402.9833333,6.7
Martes,13,499.05,8.3
Martes,14,230.1166667,3.8
Martes,15,105.8166667,1.8
Martes,16,31.08333333,0.5
Martes,17,372.0166667,6.2
Martes,18,96.26666667,1.6
Martes,19,111.9666667,1.9
Martes,20,263.7,4.4
Martes,21,1055.383333,17.6
Martes,22,594.5333333,9.9
Martes,23,180.5,3.0
Miercoles,0,41.75,0.7
Miercoles,1,0,0.0
Miercoles,2,0,0.0
Miercoles,3,0,0.0
Miercoles,4,0,0.0
Miercoles,5,0,0.0
Miercoles,6,0,0.0
Miercoles,7,0,0.0
Miercoles,8,0,0.0
Miercoles,9,0,0.0
Miercoles,10,0,0.0
Miercoles,11,0,0.0
Miercoles,12,320.3666667,5.3
Miercoles,13,656.0666667,10.9
Miercoles,14,157.9833333,2.6
Miercoles,15,0,0.0
Miercoles,16,53.06666667,0.9
Miercoles,17,123.9333333,2.1
Miercoles,18,284.9666667,4.8
Miercoles,19,358.1166667,6.0
Miercoles,20,578.1333333,9.6
Miercoles,21,473.9,7.9
Miercoles,22,306.8666667,5.1
Miercoles,23,61.33333333,1.0
Jueves,0,0,0.0
Jueves,1,0,0.0
Jueves,2,0,0.0
Jueves,3,0,0.0
Jueves,4,0,0.0
Jueves,5,29.48333333,0.5
Jueves,6,42.51666667,0.7
Jueves,7,0,0.0
Jueves,8,0,0.0
Jueves,9,0,0.0
Jueves,10,0,0.0
Jueves,11,0,0.0
Jueves,12,308.3,5.1
Jueves,13,490.7833333,8.2
Jueves,14,96.2,1.6
Jueves,15,55.46666667,0.9
Jueves,16,90.38333333,1.5
Jueves,17,361.9666667,6.0
Jueves,18,135.9333333,2.3
Jueves,19,162.1333333,2.7
Jueves,20,661.85,11.0
Jueves,21,643.7,10.7
Jueves,22,287.0166667,4.8
Jueves,23,142.85,2.4
Viernes,0,155.83,2.6
Viernes,1,0,0.0
Viernes,2,0,0.0
Viernes,3,0,0.0
Viernes,4,0,0.0
Viernes,5,0,0.0
Viernes,6,0,0.0
Viernes,7,0,0.0
Viernes,8,0,0.0
Viernes,9,13.92,0.2
Viernes,10,0,0.0
Viernes,11,43.62,0.7
Viernes,12,442.43,7.4
Viernes,13,537.97,9.0
Viernes,14,393.7,6.6
Viernes,15,136.45,2.3
Viernes,16,89.13,1.5
Viernes,17,201.58,3.4
Viernes,18,96.1,1.6
Viernes,19,236.7,4.0
Viernes,20,467.83,7.8
Viernes,21,984.2,16.4
Viernes,22,971.67,16.2
Viernes,23,550.53,9.2
Sabado,0,258.22,4.3
Sabado,1,0,0.0
Sabado,2,6.2,0.1
Sabado,3,0,0.0
Sabado,4,0,0.0
Sabado,5,0,0.0
Sabado,6,0,0.0
Sabado,7,0,0.0
Sabado,8,0,0.0
Sabado,9,0,0.0
Sabado,10,196.47,3.3
Sabado,11,462.43,7.7
Sabado,12,883.12,14.7
Sabado,13,1443.52,24.1
Sabado,14,580.27,9.7
Sabado,15,396.47,6.6
Sabado,16,519.8,8.7
Sabado,17,543.03,9.1
Sabado,18,758.42,12.6
Sabado,19,282.97,4.7
Sabado,20,651.43,10.9
Sabado,21,665.08,11.1
Sabado,22,599.98,10.0
Sabado,23,700.5,11.7
Domingo,0,329.2666667,5.5
Domingo,1,152,2.5
Domingo,2,91.56666667,1.5
Domingo,3,0,0.0
Domingo,4,0,0.0
Domingo,5,0,0.0
Domingo,6,0,0.0
Domingo,7,16.81666667,0.3
Domingo,8,44.55,0.7
Domingo,9,0,0.0
Domingo,10,175.6333333,2.9
Domingo,11,434.7666667,7.3
Domingo,12,951.0333333,15.9
Domingo,13,1478.133333,24.6
Domingo,14,684.9666667,11.4
Domingo,15,356.1833333,5.9
Domingo,16,341.4333333,5.7
Domingo,17,1046.533333,17.4
Domingo,18,971.4833333,16.2
Domingo,19,580.1166667,9.7
Domingo,20,1068.966667,17.8
Domingo,21,1251.316667,20.9
Domingo,22,474.3666667,7.9
Domingo,23,99.66666667,1.7
