title,genre,2021,2022,2023,2024,2025,2026,image
AGEND4S,Kids,0,0,3.2,0,0,0,https://image.tmdb.org/t/p/w200/xKnjd3x8BWKb5hgai8zJ6DEhMym.jpg
Adolescencia,Comedy,0,0,0,0,3.7,0,https://image.tmdb.org/t/p/w200/cZdsqlIqhRbYNo8ttxb2ThC09Wa.jpg
Adolescentes cazadoras de recompensas,Comedy,3.5,0,0,0,0,0,https://image.tmdb.org/t/p/w200/IQV8wQkWP7KbwMkSlqkyZ6zJBa.jpg
Amor de oficina,Comedy,0,0,0,0,0,1.4,https://image.tmdb.org/t/p/w200/drpeMcOyFlaoSP2R5ZkWgbqLfDK.jpg
Arrested Development,Comedy,0,0,0,2.1,0,0,https://image.tmdb.org/t/p/w200/p4r4RD7RsNcJVoz0H6z3dBoTBtW.jpg
Atypical,Drama,3.4,0,0,0,0,0,https://image.tmdb.org/t/p/w200/w5rPpdoWk3MM8ZId93FOKFzT4mm.jpg
Bailando sobre hielo,Drama,0,0,0,0,0,5.7,https://image.tmdb.org/t/p/w200/7t6iXlbfoBSfVyINLRHms5kqfze.jpg
Bebé reno,Drama,0,0,0,3.7,0,0,https://image.tmdb.org/t/p/w200/sS0c2DnzoHucyzQIOQ6mLIxV84Y.jpg
Berlín,Drama,0,0,2.7,3.3,0,0,https://image.tmdb.org/t/p/w200/2G03Bo89QP6cBA5Q9utBLrgFshB.jpg
"Besos, Kitty",Comedy,0,0,0.8,0,0,0,https://image.tmdb.org/t/p/w200/3y3uLS6HV3IJebjXHnd9K640F3Q.jpg
Big Mouth,Comedy,4.4,1.3,1.2,0,0,0,https://image.tmdb.org/t/p/w200/91GvggfQWxRygmXytWlvZWEej7c.jpg
Biohackers,Drama,0.7,0,0,0,0,0,https://image.tmdb.org/t/p/w200/xjcOhP2ETe8q3Zm0aIiKWJyp85x.jpg
Bonusfamiljen,Drama,0,1.9,0,0,0,0,https://image.tmdb.org/t/p/w200/spWAmOI88ymmYzwWTUepfKxtNl3.jpg
Bridgerton,Drama,0,8,0,7.4,0,7.3,https://image.tmdb.org/t/p/w200/4MQf8yWM47OVjjtxRdhc1SzoZVE.jpg
Brooklyn Nine-Nine,Comedy,1.9,0,0,0,0,0,https://image.tmdb.org/t/p/w200/A3SymGlOHefSKbz1bCOz56moupS.jpg
Casi feliz,Comedy,0,3.7,0,0,0,0,https://image.tmdb.org/t/p/w200/gW79AtCCEXtvXyUmREMq0vv724H.jpg
Clickbait,Drama,4,0,0,0,0,0,https://image.tmdb.org/t/p/w200/q42t4S113jebD1khigJt8z3m1mD.jpg
DAHMER,Crime,0,2.4,0,0,0,0,https://image.tmdb.org/t/p/w200/jIgAKuA71DJnYAcCsgTJ57GqCVA.jpg
Depp vs. Heard,Documentary,0,0,2.4,0,0,0,https://image.tmdb.org/t/p/w200/cuQSOW4bPJHysDWjiMkKkM4IiST.jpg
Diario de una chica experta en desastres de amor,Comedy,0,0,0,0,2.1,0,https://image.tmdb.org/t/p/w200/8kvE7FgLP6Flh88dZ7UqHkjAXsz.jpg
División Palermo,Comedy,0,0,2.5,0,4.6,0,https://image.tmdb.org/t/p/w200/laaJiZLYJnuuFWV5IGQ51XX8ujJ.jpg
Dulces magnolias,Drama,7.7,7.6,0,0,0,0,https://image.tmdb.org/t/p/w200/9MiYK1QKDQKbJhVL9XcUYsVzF4s.jpg
El Eternauta,Drama,0,0,0,0,1.6,0,https://image.tmdb.org/t/p/w200/9Krv5NvKa5a3Q3b1l2B3rP9Bj8E.jpg
El Reino,Crime,1.5,0,0,0,0,0,https://image.tmdb.org/t/p/w200/pKWuCnx1DAjLFamTdYVRfK0cck6.jpg
El amor es ciego,Reality,0,0,0,7.4,0,0,https://image.tmdb.org/t/p/w200/AqJIQMdC60UtuYzNKYEQbVnlpXQ.jpg
El jardinero,Crime,0,0,0,0,4.8,0,https://image.tmdb.org/t/p/w200/fbsK458pPJ8It2OreFtTzSdvT4H.jpg
El juego del calamar,Action & Adventure,0,0,0,0,12,0,https://image.tmdb.org/t/p/w200/g72YfmqUU0AlbDXRiYmDZWs28f7.jpg
El refugio atómico,Sci-Fi & Fantasy,0,0,0,0,6.8,0,https://image.tmdb.org/t/p/w200/sSaPOors7XFNRtP9qsIZ7oeLgkh.jpg
"El sexo, en pocas palabras",Documentary,0,1.8,0,0,0,0,https://image.tmdb.org/t/p/w200/2TOK40lE5xj8Lz34ldXvJTXpSIp.jpg
El tiempo de las moscas,Drama,0,0,0,0,0,0.5,https://image.tmdb.org/t/p/w200/9n2HM0guy6Wn95EshDj7Uw6XWd2.jpg
El tiempo que te doy,Comedy,0,0,0,1.9,0,0,https://image.tmdb.org/t/p/w200/loAhiXxBZj3TwZlNwNho1AA5AWL.jpg
Emily en París,Drama,0,5.6,1.8,0,0,0,https://image.tmdb.org/t/p/w200/oNyz3A1cPzNbYYyCUlcXU96ZsDh.jpg
Entre tierras,Drama,0,0,0,1.7,0,0,https://image.tmdb.org/t/p/w200/9CoArNRTXUxiaGvR8CUX59jRB6k.jpg
Envidiosa,Comedy,0,0,0,6,9.2,0,https://image.tmdb.org/t/p/w200/3p0fwnkkXAmn3fhUNWYjpo5M1cS.jpg
Ginny y Georgia,Comedy,0,0,9.2,0,10,0,https://image.tmdb.org/t/p/w200/vOwunzW4dx3n0J5mH40n9jTRSwY.jpg
"Gracias, ¿el siguiente?",Drama,0,0,0,3.2,0,0,https://image.tmdb.org/t/p/w200/lLXumtpW0fpEMmQ6xCKtpLG7UOz.jpg
Guía Headspace para el buen dormir,Documentary,2.6,0,0,0,0,0,https://image.tmdb.org/t/p/w200/Lttp2pBbKD4PltCTkAMMymyvbJ.jpg
Guía astrológica para corazones rotos,Comedy,3.2,3,0,0,0,0,https://image.tmdb.org/t/p/w200/nkkkjXcjKoKh2ayraPZXU4L1C9f.jpg
Heartstopper,Drama,0,3.4,0,0,0,0,https://image.tmdb.org/t/p/w200/fBbhBvFEVgVxWrBbOJDzDjcVXM4.jpg
Incontrolables,Drama,0,0,0,0,5.5,0,https://image.tmdb.org/t/p/w200/f7I0xEq69fDghGjdtmHVDyyUYph.jpg
Inventando a Anna,Drama,0,1,0,0,0,0,https://image.tmdb.org/t/p/w200/enI3uV2zxMNNYaTArzn3EgG72O0.jpg
Jugando con fuego,Reality,0,25.1,0.6,15.7,0,0,https://image.tmdb.org/t/p/w200/zn10h2O14pZSjrifn0iqlgUjDQP.jpg
Kaos,Comedy,0,0,0,5.9,0,0,https://image.tmdb.org/t/p/w200/dDBTUSl3tRsOeKC1jZugBSFHy9I.jpg
La academia del pop,Documentary,0,0,0,6.8,0,0,https://image.tmdb.org/t/p/w200/eWPe0nRouV0JHgld0aMXgNbuOV8.jpg
La casa de papel,Crime,7.9,0,0,0,0,0,https://image.tmdb.org/t/p/w200/z01Dc0Ly2GmCpLe6Scx4d3dPP1S.jpg
La cruda realidad,Documentary,0,0,0,0,0,2.6,https://image.tmdb.org/t/p/w200/lxlsvsgvEYlf2wrSV9qUipHRAuk.jpg
"La mente, en pocas palabras",Documentary,0,3.1,0,0,0,0,https://image.tmdb.org/t/p/w200/trHmtfaw6l2lgsgkvgde4FmGcNp.jpg
La mujer de la casa de enfrente de la chica en la ventana,Mystery,0,3.1,0,0,0,0,https://image.tmdb.org/t/p/w200/19nJFPGqbdVMU60KPbuS5yDGd91.jpg
La pareja perfecta,Reality,0,0,0,19.3,7.4,0,https://image.tmdb.org/t/p/w200/yzC8RVSrxyCil0ZVjlbARsjK18E.jpg
La primera vez,Drama,0,0,0,1.4,0,0,https://image.tmdb.org/t/p/w200/ujXZwXjltIBz6FbMbCMg9Tbf3v0.jpg
La reina Charlotte,Drama,0,0,4.3,0,0,0,https://image.tmdb.org/t/p/w200/mAO99P8fvFSo3x42I8b8LCcBah1.jpg
La supervivencia de una chica con curvas,Comedy,0,0,1.7,0,0,0,https://image.tmdb.org/t/p/w200/uFnFNqYTpVr3DRiEr6P5e9Xa7xV.jpg
Las esposas cazadoras,Drama,0,0,0,0,6.4,0,https://image.tmdb.org/t/p/w200/1HaPE9JjSjwQpXunsq5otOA8Hdj.jpg
Las inclemencias del amor,Drama,0,0.9,0,0,0,0,https://image.tmdb.org/t/p/w200/8yaXYMZEtCUR1bZWrgnYe97c9UE.jpg
Love Is Blind,Reality,0,0,0,10.2,0,0,https://image.tmdb.org/t/p/w200/8XhV6ke8ltRYoG4SYmibF2bGwrC.jpg
