Duration,Country,Device Type,Title,Duracion total,StartTime,AÃ±o,Mes ,Dia,Hora,clean_title,Season,Episode,Supplemental Video Type,Genero,Original language,popularity,popularity_category,clean_title2
0:16:36,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Contra la interpretaciÃ³n (episodio 8),0:16:36,3/13/2026 12:57,2026,3,Friday,12,Vladimir,1,8,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:24:31,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Todo lo que sube debe converger (episodio 7),0:24:31,3/12/2026 13:05,2026,3,Thursday,13,Vladimir,1,7,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:29:41,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,"Vladimir: Miniserie: Porque es amargo, y porque es mi corazÃ³n (episodio 6)",0:29:41,3/11/2026 21:16,2026,3,Wednesday,21,Vladimir,1,6,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:24:47,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: SegÃºn venga el juego (episodio 5),0:24:47,3/11/2026 20:32,2026,3,Wednesday,20,Vladimir,1,5,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:27:07,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Mal comportamiento (episodio 4),0:27:07,3/10/2026 22:20,2026,3,Tuesday,22,Vladimir,1,4,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:27:22,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Vladimir: Miniserie: Cambios enormes a Ãºltimo minuto (episodio 3),0:27:22,3/10/2026 13:23,2026,3,Tuesday,13,Vladimir,1,3,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:26:10,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Vladimir: Miniserie: El despertar (episodio 2),0:26:10,3/10/2026 12:56,2026,3,Tuesday,12,Vladimir,1,2,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:25:47,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Siempre hemos vivido en el castillo (episodio 1),0:25:47,3/9/2026 12:14,2026,3,Monday,12,Vladimir,1,1,SERIE,Drama,en,53.768,Moderadamente popular,Vladimir
0:37:08,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 8 (episodio 8),0:37:08,3/6/2026 22:53,2026,3,Friday,22,En el barro,2,8,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
0:34:32,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 7 (episodio 7),0:34:32,3/6/2026 12:58,2026,3,Friday,12,En el barro,2,7,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
0:37:48,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 6 (episodio 6),0:37:48,3/5/2026 22:01,2026,3,Thursday,22,En el barro,2,6,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
0:35:54,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 5 (episodio 5),0:35:54,3/5/2026 17:32,2026,3,Thursday,17,En el barro,2,5,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
0:40:30,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 4 (episodio 4),0:40:30,3/4/2026 19:57,2026,3,Wednesday,19,En el barro,2,4,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
0:37:06,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 3 (episodio 3),0:37:06,3/4/2026 19:05,2026,3,Wednesday,19,En el barro,2,3,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
0:43:18,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 2 (episodio 2),0:43:18,3/3/2026 22:17,2026,3,Tuesday,22,En el barro,2,2,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
0:42:09,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 1 (episodio 1),0:42:09,3/3/2026 17:20,2026,3,Tuesday,17,En el barro,2,1,SERIE,Crime,es,23.0605,Moderadamente popular,En el barro
1:02:36,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: Baile en el campo (episodio 8),1:02:36,3/2/2026 18:37,2026,3,Monday,18,Bridgerton: Baile en el campo,4,8,SERIE,Drama,en,135.4639,Muy popular,Bridgerton
0:22:46,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El mÃ¡s allÃ¡ (episodio 7),1:03:26,3/2/2026 18:11,2026,3,Monday,18,Bridgerton: El mÃ¡s allÃ¡,4,7,SERIE,Drama,en,135.4639,Muy popular,Bridgerton
0:40:40,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El mÃ¡s allÃ¡ (episodio 7),1:03:26,3/2/2026 13:41,2026,3,Monday,13,Bridgerton: El mÃ¡s allÃ¡,4,7,SERIE,Drama,en,135.4639,Muy popular,Bridgerton
0:34:56,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El paso del invierno (episodio 6),1:03:17,3/1/2026 19:46,2026,3,Sunday,19,Bridgerton: El paso del invierno,4,6,SERIE,Drama,en,135.4639,Muy popular,Bridgerton
0:28:21,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El paso del invierno (episodio 6),1:03:17,3/1/2026 18:16,2026,3,Sunday,18,Bridgerton: El paso del invierno,4,6,SERIE,Drama,en,135.4639,Muy popular,Bridgerton
0:38:42,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: Â¿SÃ­ o no? (episodio 5),1:00:36,3/1/2026 17:15,2026,3,Sunday,17,Bridgerton: Â¿SÃ­ o no?,4,5,SERIE,Drama,en,135.4639,Muy popular,Bridgerton
0:21:54,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: Â¿SÃ­ o no? (episodio 5),1:00:36,3/1/2026 13:59,2026,3,Sunday,13,Bridgerton: Â¿SÃ­ o no?,4,5,SERIE,Drama,en,135.4639,Muy popular,Bridgerton
0:46:45,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Por la medalla (episodio 8),0:46:45,3/1/2026 12:54,2026,3,Sunday,12,Bailando sobre hielo: Por la medalla,1,8,SERIE,Drama,en,9.3416,Poco visto,Bailando sobre hielo
0:25:02,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Sostener la caÃ­da (episodio 7),0:40:34,3/1/2026 12:01,2026,3,Sunday,12,Bailando sobre hielo: Sostener la caÃ­da,1,7,SERIE,Drama,en,9.3416,Poco visto,Bailando sobre hielo
0:15:32,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Sostener la caÃ­da (episodio 7),0:40:34,3/1/2026 10:34,2026,3,Sunday,10,Bailando sobre hielo: Sostener la caÃ­da,1,7,SERIE,Drama,en,9.3416,Poco visto,Bailando sobre hielo
0:44:14,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Caminos que se cruzan (episodio 6),0:44:14,2/28/2026 13:16,2026,2,Saturday,13,Bailando sobre hielo: Caminos que se cruzan,1,6,SERIE,Drama,en,9.3416,Poco visto,Bailando sobre hielo
0:00:04,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Perdiendo el eje (episodio 5),0:37:52,2/28/2026 13:16,2026,2,Saturday,13,Bailando sobre hielo: Perdiendo el eje,1,5,SERIE,Drama,en,9.3416,Poco visto,Bailando sobre hielo
0:37:48,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Perdiendo el eje (episodio 5),0:37:52,2/28/2026 12:04,2026,2,Saturday,12,Bailando sobre hielo: Perdiendo el eje,1,5,SERIE,Drama,en,9.3416,Poco visto,Bailando sobre hielo
