Duration,Country,Device Type,Title,Duracion total,Start Time,clean_title,Season,Episode,Supplemental Video Type,genres,Original language,popularity,popularity_category
0:16:36,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Contra la interpretación (episodio 8),0:16:36,3/13/2026 15:57,Vladimir,1,8,SERIE,['Drama'],en,53.768,Moderadamente popular
0:24:31,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Todo lo que sube debe converger (episodio 7),0:24:31,3/12/2026 16:05,Vladimir,1,7,SERIE,['Drama'],en,53.768,Moderadamente popular
0:29:41,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,"Vladimir: Miniserie: Porque es amargo, y porque es mi corazón (episodio 6)",0:29:41,3/12/2026 0:16,Vladimir,1,6,SERIE,['Drama'],en,53.768,Moderadamente popular
0:24:47,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Según venga el juego (episodio 5),0:24:47,3/11/2026 23:32,Vladimir,1,5,SERIE,['Drama'],en,53.768,Moderadamente popular
0:00:21,AR (Argentina),Apple iPhone 16 Pro iPhone,Tráiler: Parque Lezama,0:00:57,3/11/2026 20:25,Tráiler: Parque Lezama,,,TRAILER,,,,
0:00:20,AR (Argentina),Apple iPhone 16 Pro iPhone,Temporada 1 (Clip 9): En el barro,0:00:20,3/11/2026 20:24,Temporada 1: En el barro,1,,HOOK,,,,
0:27:07,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Mal comportamiento (episodio 4),0:27:07,3/11/2026 1:20,Vladimir,1,4,SERIE,['Drama'],en,53.768,Moderadamente popular
0:27:22,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Vladimir: Miniserie: Cambios enormes a último minuto (episodio 3),0:27:22,3/10/2026 16:23,Vladimir,1,3,SERIE,['Drama'],en,53.768,Moderadamente popular
0:00:14,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Temporada 1 (Clip 4): DOC,0:00:14,3/10/2026 15:56,Temporada 1: DOC,1,,HOOK,,,,
0:26:10,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Vladimir: Miniserie: El despertar (episodio 2),0:26:10,3/10/2026 15:56,Vladimir,1,2,SERIE,['Drama'],en,53.768,Moderadamente popular
0:25:47,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Vladimir: Miniserie: Siempre hemos vivido en el castillo (episodio 1),0:25:47,3/9/2026 15:14,Vladimir,1,1,SERIE,['Drama'],en,53.768,Moderadamente popular
0:00:36,AR (Argentina),Chrome PC (Cadmium),Tráiler: Parque Lezama,0:00:57,3/8/2026 15:00,Tráiler: Parque Lezama,,,TRAILER,,,,
0:37:08,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 8 (episodio 8),0:37:08,3/7/2026 1:53,En el barro,2,8,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:34:32,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 7 (episodio 7),0:34:32,3/6/2026 15:58,En el barro,2,7,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:37:48,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 6 (episodio 6),0:37:48,3/6/2026 1:01,En el barro,2,6,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:35:54,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 5 (episodio 5),0:35:54,3/5/2026 20:32,En el barro,2,5,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:40:30,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 4 (episodio 4),0:40:30,3/4/2026 22:57,En el barro,2,4,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:37:06,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 3 (episodio 3),0:37:06,3/4/2026 22:05,En el barro,2,3,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:43:18,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 2 (episodio 2),0:43:18,3/4/2026 1:17,En el barro,2,2,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:42:09,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,En el barro: Temporada 2: Episodio 1 (episodio 1),0:42:09,3/3/2026 20:20,En el barro,2,1,SERIE,"['Crime', 'Drama']",es,23.0605,Moderadamente popular
0:02:02,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Temporada 1 (Resumen): En el barro,0:02:02,3/3/2026 20:18,Temporada 1: En el barro,1,,RECAP,,,,
1:02:36,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: Baile en el campo (episodio 8),1:02:36,3/2/2026 21:37,Bridgerton: Baile en el campo,4,8,SERIE,['Drama'],en,135.4639,Muy popular
0:22:46,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El más allá (episodio 7),1:03:26,3/2/2026 21:11,Bridgerton: El más allá,4,7,SERIE,['Drama'],en,135.4639,Muy popular
0:40:40,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El más allá (episodio 7),1:03:26,3/2/2026 16:41,Bridgerton: El más allá,4,7,SERIE,['Drama'],en,135.4639,Muy popular
0:34:56,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El paso del invierno (episodio 6),1:03:17,3/1/2026 22:46,Bridgerton: El paso del invierno,4,6,SERIE,['Drama'],en,135.4639,Muy popular
0:28:21,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El paso del invierno (episodio 6),1:03:17,3/1/2026 21:16,Bridgerton: El paso del invierno,4,6,SERIE,['Drama'],en,135.4639,Muy popular
0:38:42,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: ¿Sí o no? (episodio 5),1:00:36,3/1/2026 20:15,Bridgerton: ¿Sí o no?,4,5,SERIE,['Drama'],en,135.4639,Muy popular
0:21:54,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: ¿Sí o no? (episodio 5),1:00:36,3/1/2026 16:59,Bridgerton: ¿Sí o no?,4,5,SERIE,['Drama'],en,135.4639,Muy popular
